0.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.96,0.00,0.00,1.43,0.48,0.96,1.43,0.00,0.00,4.30,0.00,0.00,0.48,0.00,0.00,0.00,1.43,0.48,0.00,0.00,0.48,0.00,0.00,0.48,1.43,0.96,1.91,0.96,0.00,0.96,0.00,5.26,3.82,23.43,22.47,11.95,0.48,0.00,2.87,12.43,3.82,0.00,0.00,0.48,0.48,0.48,0.00,0.00,0.00,0.48,0.96,2.39,0.48,0.48,1.91,0.48,0.00,0.96,0.96,0.00,0.00,0.48,0.48,0.00,0.00,1.43,0.00,0.96,0.00,0.96,0.00,0.00,0.48,0.00,0.00,0.00,0.48,1.43,3.82,0.48,0.96,0.48,0.48,0.00,0.00,0.48,0.00,0.00,0.00,0.96,0.00,0.48,0.00,0.00,0.00,4.78,12.43,1.43,0.96,0.48,0.48,0.48,0.48,0.48,0.00,0.96,4.78,0.48,0.00,0.48,0.00,0.48,1.91,1.91,0.00,1.43,0.48,8.13,0.00,0.48,0.96,9.56,0.00,0.48,0.00,1.43,0.00,0.00,0.00,0.00,0.96,0.96,0.00,2.87,0.00,0.00,0.00,0.96,1.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.96,0.48,0.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.48,0.00,0.00,0.00,0.00,0.00,0.00,0.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.48,0.00,0.48,0.96,0.48,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.00,0.00,0.50,0.00,0.00,0.00,0.50,0.00,1.00,0.00,0.00,1.00,1.00,0.50,0.00,0.00,0.00,2.99,0.50,0.00,0.00,0.00,1.00,0.50,1.00,0.50,0.50,1.49,2.99,0.50,0.50,0.00,1.00,0.50,0.00,0.50,0.00,0.00,1.00,3.99,4.98,12.46,22.92,6.48,0.50,0.00,3.99,11.96,2.49,0.00,0.00,0.00,0.50,0.00,1.00,1.49,0.00,1.00,0.00,3.49,0.00,1.00,1.00,0.50,0.50,0.00,0.00,0.00,0.50,0.00,0.00,0.00,0.00,1.00,0.50,1.00,0.50,1.99,0.00,1.00,0.00,0.50,0.00,0.50,0.00,0.50,2.49,0.00,0.50,0.50,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.50,3.49,10.46,2.99,0.00,0.50,0.00,1.00,0.50,0.50,0.00,3.99,1.49,0.00,0.00,0.00,0.00,0.00,1.49,1.00,0.50,1.49,1.49,4.48,0.00,0.50,0.00,10.46,0.00,0.50,0.00,0.50,0.00,0.00,0.00,0.00,0.00,1.49,0.00,1.49,0.00,0.00,0.00,0.50,0.00,0.00,0.50,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.50,0.00,0.00,0.00,0.50,0.00,0.00,0.00,0.50,0.00,0.00,0.00,0.00,0.50,0.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.50,0.00,0.50,0.00,0.00,0.00,0.00,0.50,0.50,0.00,0.50,0.50,1.00,1.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.53,0.53,2.10,0.00,0.00,0.00,0.00,1.05,0.53,0.00,0.00,3.15,1.05,0.53,0.00,0.00,0.00,0.53,0.00,0.53,0.00,1.05,0.00,1.58,1.05,0.00,0.53,1.05,0.00,0.53,0.00,0.53,0.53,3.68,2.10,14.19,18.39,6.83,1.05,0.00,2.10,7.88,1.58,0.00,0.00,0.53,0.00,0.53,1.05,1.58,0.00,0.00,0.53,2.10,0.53,1.58,0.53,0.00,0.53,0.53,0.00,0.00,0.00,0.53,0.00,0.53,0.00,1.58,0.53,2.10,1.05,0.00,0.53,0.00,0.53,1.05,0.53,0.00,0.00,1.58,2.10,0.00,1.05,0.00,1.58,0.53,0.00,0.00,0.00,0.00,0.53,0.53,0.00,0.00,0.00,0.00,0.00,2.10,6.83,1.58,0.53,0.53,0.00,0.53,0.53,0.53,0.00,3.68,3.15,0.00,0.00,0.00,0.00,0.00,0.53,1.05,1.58,0.53,0.53,5.78,0.53,1.58,0.00,10.51,0.00,0.00,0.00,0.53,0.00,0.00,0.00,0.00,0.53,1.58,0.53,0.53,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.05,0.00,0.53,0.00,0.00,0.00,0.00,0.00,0.53,0.00,0.00,0.53,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.53,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.58,0.53,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.53,0.00,0.53,0.00,0.00,0.00,0.53,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.53,1.05,0.00
0.00,0.00,0.00,0.51,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.55,1.02,0.00,1.02,0.00,0.00,1.53,0.00,0.00,2.04,0.00,0.51,0.00,0.00,0.00,0.00,0.51,0.00,0.00,1.53,0.51,1.53,0.00,0.00,0.00,0.51,0.00,1.02,0.00,0.00,1.02,0.51,2.04,6.62,18.34,6.62,0.00,0.00,4.58,6.62,2.04,0.00,0.00,0.51,0.00,0.00,0.51,0.51,0.00,0.00,0.00,0.51,0.51,0.51,1.02,0.00,0.51,1.02,0.51,0.00,0.00,0.51,0.00,0.00,0.00,2.04,0.51,0.51,0.51,0.00,0.00,1.02,0.51,0.00,0.51,0.00,1.02,0.51,1.53,0.00,0.00,0.51,0.00,0.51,0.00,0.00,0.00,0.00,0.00,1.53,0.00,0.00,0.51,0.51,0.00,4.07,7.64,1.53,0.00,0.00,0.00,1.02,0.00,0.51,0.00,1.02,2.04,0.00,0.00,0.00,0.51,0.51,3.06,0.51,1.02,3.06,0.51,1.53,0.00,0.51,0.51,7.64,0.51,0.51,0.00,2.04,0.00,0.00,0.00,0.00,1.02,1.02,1.53,0.00,1.02,0.00,0.00,2.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.51,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.51,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.51,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.51,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.18,1.58,0.39,0.00,1.18,0.00,0.00,0.39,0.00,0.00,1.58,0.00,0.00,0.00,0.00,0.00,0.00,1.18,0.39,0.00,0.79,0.79,0.79,0.00,0.00,0.39,0.79,1.97,0.39,0.00,0.39,0.00,0.00,3.54,7.09,9.84,1.97,1.18,0.39,2.36,5.51,1.58,0.00,0.00,0.39,0.00,0.39,0.39,0.39,0.39,0.00,0.00,1.18,0.79,0.39,0.79,0.00,0.79,0.00,0.00,0.39,0.00,0.00,0.00,0.79,0.00,2.36,0.79,0.39,0.79,0.79,0.00,0.00,0.00,0.39,0.00,0.39,0.00,0.39,1.18,0.00,0.00,0.00,1.18,0.00,0.39,0.00,0.00,0.00,0.00,1.58,0.79,0.39,0.00,0.00,0.00,2.76,3.54,0.79,0.00,0.00,0.79,0.39,0.79,0.79,0.00,1.97,0.39,0.00,0.00,0.39,0.39,0.39,1.58,0.39,0.00,0.39,0.00,3.15,0.00,0.00,0.79,7.48,0.00,0.00,0.39,2.36,0.00,0.00,0.00,0.00,0.00,1.18,0.39,1.18,0.00,0.00,0.00,0.39,0.39,0.00,0.00,0.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.39,0.00,0.00,0.00,0.00,0.39,0.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.79,0.00,0.00,0.00,0.00,0.00,0.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.18,0.39,0.00,0.00,0.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.39,0.00,0.00,0.00,0.00,0.00,0.00,0.79,0.00,0.39,0.00,0.00,1.18,0.39,0.00,0.00,0.00,0.00,0.79,0.00,0.00,0.79,0.00,0.39
0.63,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.84,0.00,0.00,0.63,0.00,0.00,0.32,0.00,0.32,1.89,0.00,0.32,0.00,0.00,0.00,0.95,0.63,0.32,0.32,0.00,0.63,0.00,0.00,0.32,0.63,0.63,0.32,0.00,0.95,0.00,0.32,0.95,2.21,7.56,6.62,3.78,0.95,0.00,0.95,3.78,1.89,0.00,0.00,0.63,0.32,0.32,0.32,0.32,0.00,0.00,0.00,0.95,0.00,0.63,0.32,0.00,0.32,0.00,0.00,0.00,0.63,0.00,0.00,0.32,0.00,1.58,0.00,0.63,0.63,0.00,0.00,0.00,0.32,0.63,0.00,0.00,0.00,0.32,0.00,0.00,0.00,0.00,0.63,0.32,0.00,0.00,0.00,0.00,0.32,0.63,0.95,0.00,0.00,0.32,0.32,2.52,5.04,1.26,0.00,0.32,0.00,0.00,0.32,0.63,0.63,1.89,1.58,0.00,0.00,0.00,0.32,0.00,2.21,0.63,0.32,1.58,0.00,1.26,0.00,0.32,0.63,8.82,0.00,0.00,0.00,2.21,0.00,0.00,0.00,0.00,0.00,0.95,0.63,0.63,0.00,0.00,0.00,0.63,0.00,0.00,0.00,0.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.63,0.32,0.00,0.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.95,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.63,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.32,0.00,0.00,0.00,0.32,0.00,0.63,0.32,0.00,0.32,0.00,0.00,0.00,0.00,0.32,0.00,0.32
0.83,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.28,0.00,0.28,0.00,1.66,0.00,0.00,0.28,0.00,0.28,0.00,0.28,0.00,1.66,0.00,0.28,0.00,0.00,0.00,0.00,0.00,0.00,0.55,0.83,1.11,0.28,0.00,0.00,0.83,0.00,0.55,0.28,0.00,0.28,0.00,0.55,1.93,6.36,9.39,3.87,0.28,0.00,2.49,4.14,1.66,0.00,0.00,1.11,0.00,0.00,0.55,0.28,0.00,0.28,0.28,0.28,0.28,0.55,0.55,0.00,0.00,0.55,0.00,0.00,0.55,0.28,0.00,0.28,0.55,1.66,0.83,1.93,0.55,0.55,0.00,0.00,0.00,0.28,0.00,0.00,0.00,0.00,1.11,0.00,0.83,0.00,1.38,0.00,0.28,0.28,0.28,0.00,0.00,0.55,0.28,0.00,1.11,0.28,0.00,2.21,2.76,1.11,0.00,0.28,0.28,0.55,0.00,0.00,0.00,1.93,0.55,0.00,0.28,0.28,0.00,0.00,1.93,0.28,0.00,0.55,0.55,1.66,0.00,0.83,1.93,6.08,0.00,0.00,0.00,1.11,0.00,0.00,0.00,0.00,0.28,0.83,0.55,0.55,0.00,0.00,0.00,0.28,0.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.28,0.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.28,0.28,0.00,0.83,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.28,0.00,0.00,0.28,0.00,0.55,0.00,0.28,0.28,0.00,0.55
0.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.75,1.25,0.00,0.00,1.00,0.25,0.00,0.25,0.00,0.00,1.75,0.00,0.25,0.50,0.25,0.00,0.00,0.00,0.50,0.25,0.25,0.75,0.25,0.50,0.25,0.75,0.75,1.00,0.00,0.00,0.00,0.50,2.50,1.75,7.01,9.01,2.75,0.25,0.00,2.50,5.51,2.50,0.00,0.25,0.25,0.00,0.75,0.25,0.50,0.00,0.00,0.50,0.75,0.00,0.25,0.25,0.25,1.25,0.50,0.00,0.25,0.75,0.25,0.00,0.00,0.00,0.25,0.00,1.00,1.25,0.50,0.25,0.00,0.00,0.50,0.00,0.00,0.25,0.75,1.25,0.00,0.00,0.00,0.25,0.25,0.25,0.00,0.00,0.00,0.00,0.75,0.25,0.25,0.50,0.25,0.00,2.50,1.75,2.25,0.00,0.25,0.00,0.00,0.00,0.00,0.00,2.00,1.25,0.00,0.25,0.50,0.00,0.00,2.25,0.50,0.25,0.50,0.00,2.75,0.00,0.50,2.00,4.26,0.00,0.00,0.25,2.25,0.25,0.00,0.00,0.00,0.25,0.25,1.00,1.00,0.25,0.00,0.00,0.25,0.75,0.00,0.00,0.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.25,0.00,0.00,0.00,0.00,0.00,0.25,0.25,0.00,0.00,0.00,0.00,0.00,0.00,0.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.25,0.00,0.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.25,0.00,0.00,0.00,0.00,0.25,0.00,0.25,0.00,0.00,1.00,0.50,0.00,0.00,0.00,0.50,0.00,0.00,0.00,0.50,0.00,0.50
0.00,0.00,0.00,0.00,0.24,0.00,0.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.95,0.00,0.24,1.66,0.24,0.00,0.47,0.24,0.00,2.13,0.24,0.00,0.24,0.00,0.00,0.00,0.24,0.24,0.24,0.24,0.24,0.00,0.47,0.00,0.24,0.24,1.42,0.00,0.47,0.95,0.47,1.42,2.85,11.86,8.06,4.74,1.66,0.24,1.42,3.79,0.95,0.00,0.47,0.71,0.24,0.47,0.47,0.47,0.00,0.00,0.00,0.71,0.00,0.47,0.00,0.00,0.00,0.47,0.00,0.24,0.00,0.47,0.00,0.24,0.00,1.42,0.71,0.24,1.19,0.95,0.47,0.00,0.24,0.47,0.24,0.00,0.47,0.24,0.71,0.24,0.24,0.00,0.71,0.00,0.00,0.24,0.00,0.00,0.00,0.71,0.71,0.24,0.00,0.00,0.00,3.32,3.32,1.42,0.00,0.00,0.24,0.24,0.47,0.00,0.24,3.79,1.42,0.00,0.00,0.71,0.71,0.00,0.71,0.71,0.00,0.47,0.47,2.13,0.00,0.95,0.24,4.27,0.24,0.00,0.00,0.95,0.00,0.00,0.00,0.00,0.24,0.71,1.19,0.47,0.00,0.00,0.00,0.47,0.24,0.00,0.00,0.00,0.00,0.24,0.00,0.00,0.00,0.00,0.00,0.24,0.00,0.00,0.00,0.24,0.00,0.00,0.00,0.24,0.00,0.00,0.00,0.00,0.00,0.24,0.24,0.24,0.00,0.00,0.00,0.00,0.00,0.00,0.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.24,0.24,0.24,0.00,0.24,0.24,0.00,0.00,0.00,0.00,0.00,0.24,0.24,0.00,0.00,0.00,0.00,0.00,0.00,0.24,0.00,0.47,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.24,0.24,0.71,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.24,0.00,0.24,0.47,0.00,0.00,0.00,0.00,0.00,0.24,0.00,0.00,0.00,0.24,0.00,0.00,0.00,0.71,0.00,0.00,0.24,0.00,0.00,0.47
0.00,0.00,0.00,0.00,0.22,0.00,0.22,0.00,0.00,0.22,0.00,0.00,0.00,0.45,0.22,2.02,0.00,0.00,0.00,0.00,0.22,0.45,0.00,0.00,1.80,0.00,0.22,0.00,0.00,0.22,0.22,0.45,0.22,0.00,1.57,0.67,0.22,0.90,0.00,0.90,0.22,0.90,0.22,0.22,0.22,0.22,1.80,2.69,8.31,9.43,3.59,1.12,0.22,0.22,5.84,1.35,0.00,0.22,0.90,0.00,0.22,0.22,0.45,0.00,0.45,0.67,1.12,0.00,0.67,0.45,0.00,0.22,0.67,1.12,0.67,0.45,0.45,0.00,0.22,0.22,0.90,0.90,1.12,0.45,0.00,0.22,0.00,0.22,0.45,0.22,0.00,0.00,0.22,2.02,0.00,0.00,0.00,0.90,0.00,0.22,0.00,0.00,0.00,0.45,0.45,0.45,0.45,0.45,0.45,0.00,3.82,3.37,0.67,0.22,0.45,0.67,0.45,0.22,0.22,0.22,2.92,2.02,0.22,0.00,0.22,0.22,0.45,0.67,0.00,0.22,0.90,1.35,3.14,0.22,0.90,0.90,5.61,0.00,0.22,0.00,0.90,0.00,0.00,0.22,0.00,0.45,1.12,0.45,2.02,0.45,0.00,0.00,0.45,0.22,0.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.22,0.00,0.00,0.00,0.00,0.22,0.00,0.00,0.00,0.00,0.00,0.67,0.45,0.22,0.00,0.00,0.00,0.00,0.22,0.00,0.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.45,0.00,0.00,0.00,0.00,0.00,0.00,0.22,0.22,0.00,0.22,0.00,0.22,0.00,0.00,0.22,0.00,0.00,0.00,0.00,0.00,0.22,1.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.22,0.00,0.00,0.00,0.00,0.22,0.67,0.00,0.00,0.00,0.22,0.00,0.00,0.22,1.12,0.22,0.45
