34.16,34.62,38.09,41.30,52.25,51.43,45.09,30.26,22.79,21.81,22.11,21.90,21.43,20.68,20.19,20.21,19.92,18.29,15.36,18.17,22.82,26.45,29.96,31.70
32.92,33.90,35.02,37.93,43.54,49.15,43.23,31.71,23.46,22.34,22.11,22.02,21.08,20.45,20.25,19.25,17.81,16.78,17.25,20.46,23.15,25.26,27.22,29.37
29.67,30.56,32.28,33.76,34.49,35.48,40.39,40.86,37.73,32.62,29.80,27.59,26.37,25.07,24.69,25.22,24.83,25.15,24.73,26.81,27.09,28.64,29.63,30.79
30.74,31.73,32.41,34.12,35.38,38.34,41.28,46.74,41.38,36.99,34.79,32.93,30.74,29.86,29.98,29.45,28.47,28.74,28.18,29.75,30.92,31.87,33.28,34.12
